entity_id,entity_name,entity_type,mention_count,fraud_linked_mentions,distinct_sources,legal_section_count,district_count,average_quality_score,average_reliability_score,network_risk_score,risk_band,supporting_records,districts,legal_sections
silverton-spinners-limited,Silverton Spinners Limited,company,23,0,6,0,1,75.25,0.85,100.0,High,a3838d6b6dd2a389 | 3b63dddada9b7cbb | 76db1a2906a8e71b | 3503a6aedc57757d | efa09500b95fe887 | f904c9626b18a522 | 39dce55dff33127c | 133070802c304c7a | 165b0eba2f221c91 | 982490e8cc02e22f | 0b3f48ed94ab7628 | b84d90be0a333cc5 | e1293e245940384d | f2873420cb0b362e | a64f275bef9f841e | 98bca00b3cf80822 | 379a15f499034eae | 77dfbccb73e4af47 | ec28037bf3fac74d | 448467612c81ce33 | 9914df185c3c83ff | 20643d8cbed67c78 | 90e66fecb3b5975f,South 24 Parganas,
jvl-agro-industries-limited,JVL Agro Industries Limited,company,15,0,10,0,0,70.27,0.85,100.0,High,9a4030c9611c5d68 | e693aa88a6540c96 | ab1152da697c6b4e | 14f799e4c7337f9f | 34695c07269ff17c | 27a0eb856ee34753 | 391f5bb98dd752a4 | 6ab35b1851b1565b | 11c19efe60b0ae69 | 07bf82bae57ca33f | 9509bf967d4abbcc | 33c195ae7f1c4bba | b56cc8b0e000997c | 3f3fd7cc36e1b580 | ddeb8052283e0a90,,
new-hind-silk-house-private-limited,NEW HIND SILK HOUSE PRIVATE LIMITED,record_subject,9,0,5,0,1,63.6,0.85,100.0,High,c6febac0f277d72c | 06c6702b176c0425 | 7338a94b60f686e9 | b4b8b473b296df76 | da0a5263a808c725 | 1f723f91e1541661 | 4b76e10447bed06a | f49f9b020cc37cae | b1243b681294e74a,Kolkata,
reacon-engineers-(india)-pvt-ltd,REACON ENGINEERS (INDIA) PVT LTD,record_subject,6,0,4,0,1,63.27,0.85,100.0,High,d142d7d5087bb34d | 9e68e1640b861be3 | 8e89cd021ab165a6 | dc06267742f461e4 | 4b34ea91e1d55e9e | 70d8eaa453fa6a10,Kolkata,
dev-r-nil-design-private-limited,Dev R Nil Design Private Limited,company,6,0,3,0,0,74.93,0.85,100.0,High,e889e1d44ba597ad | f18de0ea1f90b6f7 | 75ce5f2d453fbcbe | 48018d4a69afa3c9 | f9e09aa2bd43b86e | 7415337ac7200917,,
ak-power-industries-private-limited,AK Power Industries Private Limited,company,5,0,3,0,0,65.6,0.85,100.0,High,b3e98655b4f09ac9 | 898ac6379af59b06 | ab44e1f2e99dcaad | b6b930e97ec3351c | 633ad8a089529be9,,
k.s.-oils-limited,K.S. Oils Limited,company,12,0,2,0,1,76.77,0.85,100.0,High,874d850f051b67fe | b1db4d2276c97500 | 1520ee2f8e6a5e5e | 0fcb1b775d7b3f04 | dc2ebf618420cbdf | 0b954838d6c834ab | 72bb0024fb630464 | bd16648e9813cc72 | ad01f57b190be568 | b2b84e21d5ca96d9 | 763b936ec5875607 | f0bb795c900d8a09,Purba Medinipur,
fabricators-private-limited,Fabricators Private Limited,company,5,0,3,0,0,70.4,0.85,100.0,High,429887d9f65ad471 | ef540c17e4975f15 | 5d08a3afc92f8702 | 7d8840fc2f7068db | c751e1975fc3b2ba,,
prithvi-multipurpose-cold-storage-private-limited,PRITHVI MULTIPURPOSE COLD STORAGE PRIVATE LIMITED,record_subject,6,0,2,0,0,61.6,0.85,100.0,High,a050790c1bb025bf | 11c49f7c1616c419 | 39f895aa88c562b0 | 21035b7a7d9ef9f2 | fb260f3e9e5dc6f7 | e7b24c03aa813039,,
b.d.motors-limited,B.D.Motors Limited,company,4,0,3,0,0,71.6,0.85,98.39,High,aa59ea6add16690e | c5c3abbfc5643dc4 | 4453d67e1eda7b7b | 723f0af9d1227341,,
prapti-fashions-pvt.-limited,Prapti Fashions Pvt. Limited,company,5,0,1,0,0,65.6,0.85,97.31,High,e75904d8301eb4bf | f0521190fe0eec52 | d6a05ff7f8516f18 | 7eb43c1060e3980a | 45793c66cb1bc771,,
modern-india-concast-limited,Modern India Concast Limited,company,5,0,1,0,0,65.6,0.85,97.31,High,63c56ce4074abddd | 5283fce6f83e142f | c2a5eb16d0dec184 | af4d0b163ae6fc84 | 18d2df917cdd9114,,
khaitan-electricals-ltd,Khaitan Electricals Ltd,company,4,0,2,0,1,77.6,0.85,96.47,High,6c3d949f1ae0ba47 | d9676fb0f7157025 | df808595d6350fbf | 34fe4e50cc1f9d1c,South 24 Parganas,
gemus-engineering-ltd,GEMUS ENGINEERING LTD,record_subject,4,0,2,0,0,61.6,0.85,89.59,High,2d706bfe497367f1 | caca192d2afab4e4 | ce07b1ee6186da13 | e72c9fd90eeaae68,,
hindusthan-small-tools-pvt-ltd,HINDUSTHAN SMALL TOOLS PVT LTD,record_subject,3,0,2,0,1,62.93,0.85,79.83,High,3f51d0e76965d4db | d65b25bcaf4a556a | da377aba0a08ec41,South 24 Parganas,
